Metric,Value
within_user1_5fold_mean,0.7146666646003723
within_user2_5fold_mean,0.9480000019073487
within_user3_5fold_mean,0.9299999952316285
within_user4_5fold_mean,0.9293333172798157
within_user5_5fold_mean,0.3273333251476288
within_user_overall_mean,0.7698666608333589
mixed_5fold_mean,0.7652000069618226
loso_user1_out,0.46666666865348816
loso_user2_out,0.5320000052452087
loso_user3_out,0.3813333213329315
loso_user4_out,0.47200000286102295
loso_user5_out,0.15000000596046448
loso_mean,0.40040000081062316
